57.29(+/-17.73) 79.17(+/-21.1) 41.66(+/-11.44) 82.3(+/-21.98) 
65.62(+/-20.22) 80.2(+/-20.72) 50.0(+/-13.34) 81.25(+/-23.76) 
54.16(+/-17.34) 82.29(+/-20.19) 43.75(+/-12.64) 82.29(+/-24.6) 
61.46(+/-21.1) 81.25(+/-21.64) 47.92(+/-11.28) 84.38(+/-22.96) 
57.3(+/-19.06) 82.29(+/-21.7) 40.62(+/-14.92) 86.46(+/-21.88) 
62.5(+/-22.15) 82.29(+/-21.7) 50.0(+/-11.68) 84.38(+/-24.29) 
54.17(+/-20.62) 83.33(+/-22.32) 42.71(+/-14.55) 84.38(+/-24.29) 
70.84(+/-22.04) 85.42(+/-22.12) 40.62(+/-14.06) 83.33(+/-26.14) 
66.67(+/-21.78) 84.38(+/-21.64) 46.88(+/-15.31) 84.38(+/-26.02) 
60.42(+/-24.02) 85.42(+/-19.54) 40.62(+/-11.2) 85.42(+/-23.74) 
60.42(+/-20.78) 86.46(+/-17.94) 40.62(+/-13.62) 85.42(+/-23.74) 
71.88(+/-24.56) 86.46(+/-20.02) 42.71(+/-12.57) 84.38(+/-26.02) 
53.12(+/-24.33) 85.42(+/-19.54) 40.62(+/-14.5) 85.42(+/-23.29) 
71.88(+/-18.62) 87.5(+/-18.06) 34.38(+/-8.96) 83.33(+/-26.14) 
65.62(+/-23.78) 86.46(+/-17.58) 44.79(+/-11.88) 84.38(+/-23.97) 
71.88(+/-22.08) 86.46(+/-20.02) 44.79(+/-12.92) 85.42(+/-23.29) 
59.38(+/-20.36) 87.5(+/-18.06) 42.7(+/-13.06) 86.46(+/-23.06) 
64.58(+/-20.05) 87.5(+/-18.06) 38.54(+/-13.9) 85.42(+/-23.29) 
63.54(+/-21.5) 88.54(+/-17.98) 39.58(+/-13.34) 85.42(+/-21.87) 
62.5(+/-24.78) 86.46(+/-20.02) 39.58(+/-14.26) 83.33(+/-26.14) 
71.88(+/-23.92) 88.54(+/-16.42) 40.62(+/-9.88) 84.38(+/-23.97) 
