65.0(+/-30.38) 83.75(+/-22.55) 21.25(+/-14.66) 82.5(+/-21.79) 
70.0(+/-30.72) 82.5(+/-22.87) 25.0(+/-19.38) 82.5(+/-23.14) 
71.25(+/-24.7) 87.5(+/-18.4) 21.25(+/-13.22) 86.25(+/-17.09) 
66.25(+/-26.07) 88.75(+/-15.0) 22.5(+/-11.12) 83.75(+/-20.9) 
68.75(+/-31.48) 82.5(+/-22.87) 21.25(+/-14.85) 86.25(+/-17.9) 
71.25(+/-24.1) 83.75(+/-22.24) 15.0(+/-16.48) 86.25(+/-18.87) 
70.0(+/-28.08) 83.75(+/-22.29) 18.75(+/-13.88) 87.5(+/-16.48) 
73.75(+/-30.98) 80.0(+/-27.24) 16.25(+/-13.22) 86.25(+/-17.09) 
71.25(+/-33.44) 81.25(+/-23.1) 13.75(+/-8.88) 86.25(+/-18.18) 
72.5(+/-33.36) 82.5(+/-24.68) 12.5(+/-9.35) 87.5(+/-17.58) 
72.5(+/-31.92) 85.0(+/-18.99) 16.25(+/-10.59) 83.75(+/-22.55) 
71.25(+/-28.88) 83.75(+/-21.21) 18.75(+/-11.86) 83.75(+/-23.02) 
76.25(+/-33.72) 81.25(+/-23.22) 23.75(+/-11.52) 85.0(+/-19.54) 
75.0(+/-33.04) 86.25(+/-19.54) 15.0(+/-9.35) 78.75(+/-26.96) 
67.5(+/-29.02) 86.25(+/-20.37) 20.0(+/-12.24) 88.75(+/-17.12) 
77.5(+/-33.99) 85.0(+/-19.54) 12.5(+/-14.58) 87.5(+/-17.29) 
76.25(+/-34.18) 83.75(+/-23.92) 13.75(+/-11.52) 86.25(+/-17.9) 
72.5(+/-29.84) 85.0(+/-19.54) 12.5(+/-9.54) 86.25(+/-19.68) 
71.25(+/-31.12) 81.25(+/-24.99) 18.75(+/-16.12) 87.5(+/-17.29) 
62.5(+/-30.76) 83.75(+/-20.78) 17.5(+/-8.63) 85.0(+/-19.19) 
81.25(+/-31.62) 88.75(+/-15.9) 17.5(+/-9.44) 85.0(+/-18.37) 
