76.25(+/-31.2) 81.25(+/-23.14) 20.0(+/-11.05) 82.5(+/-22.24) 
65.0(+/-28.36) 77.5(+/-27.84) 22.5(+/-7.02) 80.0(+/-25.74) 
56.25(+/-27.44) 81.25(+/-23.76) 21.25(+/-10.59) 81.25(+/-23.1) 
62.5(+/-27.22) 78.75(+/-27.24) 26.25(+/-18.88) 82.5(+/-21.79) 
66.25(+/-30.16) 83.75(+/-21.12) 23.75(+/-13.66) 82.5(+/-23.76) 
67.5(+/-27.62) 85.0(+/-20.16) 25.0(+/-15.73) 81.25(+/-24.18) 
62.5(+/-24.09) 82.5(+/-22.6) 16.25(+/-11.05) 77.5(+/-30.1) 
60.0(+/-25.86) 82.5(+/-21.82) 28.75(+/-17.54) 82.5(+/-22.87) 
58.75(+/-21.36) 85.0(+/-18.37) 28.75(+/-11.9) 80.0(+/-26.16) 
58.75(+/-21.83) 81.25(+/-23.1) 18.75(+/-14.36) 77.5(+/-28.92) 
63.75(+/-30.31) 80.0(+/-24.86) 18.75(+/-13.48) 77.5(+/-30.1) 
63.75(+/-27.0) 78.75(+/-26.14) 20.0(+/-6.12) 85.0(+/-19.19) 
52.5(+/-22.88) 81.25(+/-23.22) 21.25(+/-9.35) 85.0(+/-19.19) 
66.25(+/-29.47) 83.75(+/-20.15) 27.5(+/-15.77) 80.0(+/-25.12) 
63.75(+/-24.93) 85.0(+/-20.0) 21.25(+/-13.22) 80.0(+/-27.44) 
63.75(+/-23.02) 85.0(+/-20.0) 25.0(+/-10.8) 80.0(+/-27.24) 
61.25(+/-26.7) 88.75(+/-17.12) 23.75(+/-11.05) 86.25(+/-17.02) 
51.25(+/-20.4) 86.25(+/-17.09) 27.5(+/-11.96) 85.0(+/-21.3) 
46.25(+/-14.42) 87.5(+/-17.29) 27.5(+/-13.22) 87.5(+/-18.4) 
65.0(+/-26.1) 86.25(+/-19.68) 21.25(+/-9.68) 90.0(+/-13.42) 
43.75(+/-19.84) 87.5(+/-19.41) 25.0(+/-15.68) 85.0(+/-20.16) 
