45.0(+/-17.66) 75.0(+/-22.54) 28.75(+/-11.96) 83.75(+/-19.09) 
53.75(+/-15.22) 78.75(+/-22.46) 30.0(+/-11.05) 85.0(+/-16.48) 
46.25(+/-14.62) 80.0(+/-20.6) 33.75(+/-9.35) 86.25(+/-15.2) 
45.0(+/-23.02) 80.0(+/-20.6) 28.75(+/-11.05) 85.0(+/-17.29) 
47.5(+/-20.04) 78.75(+/-23.66) 26.25(+/-8.06) 87.5(+/-16.52) 
57.5(+/-23.02) 80.0(+/-23.02) 28.75(+/-10.0) 86.25(+/-16.97) 
41.25(+/-18.49) 75.0(+/-28.35) 33.75(+/-14.03) 86.25(+/-15.59) 
50.0(+/-15.82) 80.0(+/-22.4) 31.25(+/-9.35) 85.0(+/-16.48) 
51.25(+/-18.84) 76.25(+/-26.72) 31.25(+/-12.75) 82.5(+/-17.44) 
45.0(+/-14.86) 75.0(+/-28.35) 30.0(+/-8.06) 82.5(+/-19.54) 
50.0(+/-22.88) 77.5(+/-25.35) 31.25(+/-9.35) 82.5(+/-19.54) 
51.25(+/-20.91) 78.75(+/-26.16) 27.5(+/-9.68) 82.5(+/-19.54) 
42.5(+/-15.56) 80.0(+/-24.82) 32.5(+/-10.26) 83.75(+/-18.18) 
50.0(+/-27.36) 78.75(+/-26.16) 31.25(+/-7.18) 81.25(+/-21.21) 
36.25(+/-14.65) 78.75(+/-26.2) 30.0(+/-10.35) 82.5(+/-19.51) 
50.0(+/-15.68) 81.25(+/-23.14) 31.25(+/-10.8) 81.25(+/-21.21) 
45.0(+/-22.6) 78.75(+/-26.2) 28.75(+/-7.18) 82.5(+/-19.51) 
43.75(+/-14.86) 80.0(+/-24.82) 26.25(+/-7.74) 82.5(+/-19.51) 
48.75(+/-23.93) 80.0(+/-24.82) 30.0(+/-11.72) 81.25(+/-21.21) 
52.5(+/-20.34) 78.75(+/-26.2) 26.25(+/-8.88) 81.25(+/-21.21) 
37.5(+/-19.95) 78.75(+/-26.7) 25.0(+/-10.0) 82.5(+/-20.16) 
