Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.502707	0.189515	0.187947	0.0929488
0.931704	0.184881	0.422505	0.192955
0.824479	0.29478	0.381076	0.129378
0.185001	0.0769223	0.325949	0.308232
0.942809	0.942809	0.915266	0.741631
0.508262	0.214	0.27519	0.0813806
0.333197	0.323031	0.0706657	0.0433448
0.94805	0.25377	0.359733	0.151478
0.918167	0.707107	0.281597	0.0707311
1	1	0.745356	0.640282
0.649923	0.291806	0.2084	0.114754
0.917191	0.199673	0.398651	0.294166
0.339588	0.258247	0.178148	0.084316
0.802536	0.537358	0.432232	0.0860346
0.8	0.655401	0.291542	0.0767161
0.967278	0.833333	0.464469	0.137333
0.955769	0.352181	0.301356	0.106517
0.903508	0.877383	0.335843	0.156575
1	0.191546	0.414703	0.183343
0.764895	0.349763	0.333968	0.0926143
0.30547	0.227227	0.205323	0.0995782
0.601425	0.215959	0.352137	0.099305
1	0.870551	0.424697	0.0930021
0.538453	0.349428	0.273662	0.142182
0.893209	0.35227	0.409729	0.157291
0.824479	0.29478	0.381076	0.129378
0.918132	0.261067	0.392886	0.208139
0.989743	0.970984	0.575493	0.202077
0.636557	0.337955	0.338975	0.113751
0.316124	0.221665	0.18639	0.123379
0.917191	0.199673	0.398651	0.294166
0.403906	0.128339	0.39103	0.108249
0.221553	0.114963	0.154796	0.224387
0.661438	0.696927	0.12982	0.0552298
1	1	0.333197	0.221677
1	1	1	0.866025
0.866025	0.866025	0.675455	0.235779
0.413064	0.181629	0.219416	0.426552
0.802536	0.537358	0.432232	0.0860346
0.264431	0.18473	0.6441	0.12901
0.193547	0.0865975	0.384215	0.200485
0.831479	0.697848	0.322844	0.0693505
0.333197	0.221677	0.455543	0.107917
0.372017	0.148961	0.609991	0.143082
0.3305	0.0865612	0.199718	0.199606
0.689655	0.423796	0.27839	0.140866
1	1	0.699854	0.57735
0.650631	0.513658	0.250793	0.11956
0.837818	0.287056	0.412062	0.108362
0.866025	0.866025	0.243411	0.156008
0.388345	0.291806	0.480282	0.102426
0.484123	0.494321	0.0725602	0.0892253
0.244311	0.128176	0.425754	0.118276
0.197056	0.145997	0.0556565	0.151914
0.874081	0.161375	0.426608	0.385497
0.336895	0.310331	0.173772	0.0557833
0.628539	0.68419	0.207058	0.0980963
0.515079	0.540142	0.147687	0.0847211
0.9276	0.713288	0.576158	0.229514
0.390893	0.194865	0.372432	0.0737703
0.197056	0.0865612	0.169055	0.22851
0.355895	0.0967849	0.353487	0.10042
0.840972	0.104573	0.446228	0.641966
0.280503	0.144572	0.155291	0.101963
0.814968	0.281844	0.35118	0.125168
0.866025	0.793701	0.527549	0.135681
0.8	0.5	0.401708	0.0944856
0.558251	0.576889	0.190133	0.163575
0.484123	0.504441	0.134144	0.0843728
0.368546	0.110584	0.263303	0.511238
0.983554	0.343303	0.420401	0.107167
0.272117	0.259445	0.0656428	0.0648138
0.942809	0.942809	0.866025	0.601347
0.420818	0.146176	0.209267	0.189578
0.661438	0.684663	0.136196	0.0780307
0.378793	0.0973795	0.451796	0.557146
0.377705	0.375338	0.0832747	0.0589772
1	1	0.316124	0.221665
0.532939	0.634794	0.0965806	0.0547745
0.587847	0.377905	0.217455	0.0750862
0.193547	0.0865975	0.443049	0.200485
0.334748	0.127297	0.212455	0.205628
0.451348	0.132065	0.188673	0.181471
0.819215	0.274913	0.369626	0.109746
0.309047	0.0981568	0.221667	0.412125
0.55945	0.303458	0.213033	0.0917103
0.65674	0.369815	0.290328	0.0924735
0.942561	0.154005	0.392576	0.190255
0.30162	0.171657	0.158821	0.109766
0.264431	0.18473	0.6441	0.12901
0.305708	0.198176	0.18551	0.121037
0.800008	0.469527	0.499839	0.131783
0.972636	0.286896	0.421196	0.137448
1	1	0.895806	0.662618
1	1	0.498888	0.531117
0.448988	0.202037	0.326152	0.194715
0.27108	0.0821919	0.351778	0.583406
0.770387	0.257349	0.336513	0.0802206
0.866025	0.916486	0.137756	0.0650009
1	1	0.579454	0.344254
1	1	0.272117	0.178128
0.931704	0.184881	0.422505	0.192955
0.504616	0.259164	0.23665	0.0986688
0.344555	0.102236	0.251188	0.446761
0.377705	0.375338	0.118382	0.0589771
0.445648	0.260366	0.331382	0.108212
0.893852	0.246473	0.322787	0.124334
0.917191	0.199673	0.398651	0.294166
0.238375	0.13611	0.356215	0.0832504
0.381965	0.158845	0.156766	0.130518
0.272117	0.18473	0.0659971	0.12907
0.8	0.731432	0.526633	0.193212
0.951665	0.58712	0.548131	0.135884
0.97867	0.290724	0.302865	0.10761
0.57496	0.435275	0.434226	0.0887276
