Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.509764	0.0994341	0.451167	0.671808
0.977352	0.379605	0.429275	0.171565
0.413311	0.423614	0.357299	0.112122
0.567877	0.168572	0.359023	0.706784
0.977352	0.379605	0.429275	0.171565
0.914646	0.409349	0.33861	0.116078
0.277028	0.283124	0.211249	0.125367
0.277028	0.244317	0.481891	0.169139
0.30143	0.176839	0.195727	0.127104
0.484389	0.331318	0.364558	0.10908
0.918167	0.620665	0.482389	0.116495
0.84265	0.681384	0.445484	0.105922
0.945307	0.717364	0.496883	0.152263
0.579084	0.307655	0.531884	0.178523
0.385516	0.315529	0.401085	0.134969
0.942809	0.877383	0.630956	0.239428
0.977352	0.379605	0.429275	0.171565
0.817146	0.232498	0.544904	0.299379
0.671275	0.263419	0.43683	0.14485
0.745356	0.47895	0.314114	0.120833
0.749872	0.210749	0.37478	0.144141
0.57496	0.534889	0.508247	0.14399
0.427989	0.137508	0.426265	0.700991
0.876456	0.391448	0.453627	0.155681
0.361566	0.118474	0.467318	0.23288
0.666713	0.317179	0.568072	0.135159
0.940945	0.420443	0.356459	0.134621
0.696717	0.221003	0.431747	0.135707
1	1	0.34284	0.210542
0.406134	0.259593	0.247014	0.0844695
0.32292	0.207473	0.263148	0.188137
0.699854	0.642771	0.592115	0.175786
0.494729	0.202799	0.291244	0.214316
1	1	1	1
1	1	0.320382	0.113481
0.616251	0.527133	0.322815	0.167066
0.439668	0.121205	0.399486	0.288695
0.857143	1	0.717999	0.380615
0.425918	0.392106	0.449055	0.101974
0.709931	0.630317	0.345559	0.130051
0.325152	0.286473	0.54402	0.150878
0.326954	0.157809	0.215174	0.125842
0.804581	0.255926	0.600727	0.0956859
0.549774	0.234666	0.388943	0.142254
0.291642	0.262208	0.160247	0.0757943
0.96515	0.377582	0.371298	0.141638
0.461933	0.12023	0.427818	0.800195
0.897654	0.423222	0.417443	0.131478
0.30143	0.266362	0.0997973	0.0899812
0.974318	0.316268	0.407587	0.156862
0.968246	0.968246	0.498864	0.12428
0.619929	0.233882	0.597255	0.10233
1	1	1	0.822216
0.432986	0.742913	0.283717	0.081658
0.603922	0.190513	0.45858	0.142523
0.285652	0.288211	0.0892584	0.0770603
0.635935	0.362865	0.365711	0.100394
0.552771	0.413439	0.478571	0.157742
0.550191	0.173411	0.282277	0.114168
0.735597	0.410916	0.323316	0.0958258
1	0.952441	0.495749	0.132615
0.686349	0.585688	0.298026	0.120851
0.96515	0.377582	0.371298	0.141638
0.337993	0.249783	0.398441	0.115182
0.971566	0.211606	0.404323	0.179679
0.244862	0.294979	0.250461	0.15179
0.924688	0.193884	0.449731	0.170491
0.357659	0.114405	0.396446	0.233847
0.484123	0.356321	0.607402	0.152897
0.413311	0.340392	0.700389	0.173254
1	1	0.30143	0.266362
0.285652	0.288211	0.221759	0.126353
0.911497	0.399653	0.44667	0.185816
0.930446	0.445134	0.491323	0.114521
0.945859	0.325582	0.491024	0.153271
0.880505	0.531242	0.614166	0.10993
0.864318	0.433784	0.408104	0.151241
0.49815	0.128932	0.357201	0.645073
0.957723	0.279053	0.416826	0.18183
0.907458	0.475145	0.335352	0.0904111
0.435315	0.176846	0.260449	0.155585
1	1	0.30143	0.176839
0.810344	0.44484	0.277473	0.110633
0.34284	0.329944	0.0903636	0.0594475
0.383673	0.331548	0.14904	0.150011
0.952561	0.387704	0.518943	0.17485
0.332959	0.164065	0.417818	0.60577
0.745356	0.640282	0.798685	0.194695
0.542586	0.389062	0.235868	0.181235
0.328671	0.260767	0.252279	0.117366
0.387759	0.164995	0.506537	0.258855
0.464231	0.402443	0.26472	0.128235
0.979796	0.85385	0.376429	0.0948993
0.887596	0.335264	0.371199	0.173393
0.291642	0.176839	0.374613	0.126371
0.871516	0.425981	0.427243	0.0822733
0.285652	0.178403	0.311309	0.18647
0.571869	0.212566	0.211442	0.121748
0.480891	0.124239	0.425008	0.574449
0.568132	0.118992	0.335605	0.170025
0.647349	0.34219	0.388508	0.165083
0.986509	0.339742	0.457483	0.121987
0.510535	0.216112	0.387196	0.136411
0.555129	0.122994	0.313402	0.437221
0.404885	0.249056	0.362768	0.147172
0.831479	0.186071	0.432622	0.216886
1	1	0.528377	0.285458
0.328671	0.3339	0.245062	0.0961765
0.745362	0.302182	0.319676	0.127885
0.745356	0.45386	0.456041	0.115768
