Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
1	1	0.661438	0.744538
0.380116	0.0744878	0.282991	0.405228
0.854993	0.0898735	0.372183	0.287935
0.745356	0.631549	0.477421	0.0612114
0.661438	0.684663	0.102217	0.0595243
0.651603	0.0855126	0.271821	0.115622
0.153295	0.0577412	0.358937	0.111559
0.951057	0.130518	0.362242	0.12453
0.25309	0.15265	0.159601	0.0454178
0.827886	0.0725213	0.412556	0.57182
0.304911	0.266654	0.0496238	0.0303507
0.699854	0.699854	0.235403	0.0579651
0.8	0.66326	0.296102	0.0801554
0.434882	0.322507	0.311331	0.04789
0.153295	0.0577412	0.36474	0.111559
0.388345	0.260538	0.517346	0.0740672
0.416598	0.138164	0.260244	0.121195
0.353968	0.0972072	0.269329	0.247521
0.191557	0.139148	0.0391888	0.0324403
0.920887	0.20826	0.311017	0.101733
0.236779	0.0566994	0.290112	0.518922
0.745356	0.692073	0.611795	0.0968696
0.329427	0.0588327	0.470125	0.262016
0.231716	0.0780456	0.301764	0.095953
0.699854	0.57735	0.458404	0.106034
0.399913	0.125328	0.202522	0.287046
0.155697	0.114291	0.0394856	0.108127
0.645208	0.230917	0.316139	0.0915425
0.935504	0.19401	0.361565	0.0942386
0.935003	0.117977	0.343255	0.191266
0.895806	0.573732	0.190821	0.051958
0.646313	0.16273	0.437654	0.0704152
0.866025	1	0.263246	0.098724
0.189874	0.0668871	0.236648	0.202566
0.188285	0.0847301	0.116269	0.0672539
0.943145	0.106474	0.436394	0.302841
0.42678	0.122163	0.167817	0.134925
0.695416	0.170384	0.416446	0.0988654
0.134841	0.0840414	0.335153	0.0643709
0.227211	0.106956	0.101016	0.066554
0.973056	0.118427	0.384365	0.135197
0.812041	0.449871	0.43342	0.0607455
0.57496	0.595963	0.0775988	0.0368103
0.804829	0.15097	0.284533	0.0623493
0.777611	0.101387	0.388817	0.250091
0.345358	0.109228	0.173942	0.428865
0.682558	0.818185	0.398962	0.0638287
0.702482	0.232489	0.253144	0.0512108
0.19802	0.141721	0.0416809	0.0270201
0.839062	0.10266	0.364773	0.289146
0.256038	0.128656	0.0633932	0.0490054
0.359496	0.11425	0.31247	0.11623
0.153775	0.0754299	0.215736	0.134447
0.325943	0.0616165	0.216567	0.218443
0.532939	0.594555	0.14843	0.0812192
0.873994	0.449725	0.227331	0.0546889
0.19802	0.141721	0.0864932	0.0410119
0.331079	0.101119	0.220016	0.0869712
0.397886	0.363568	0.170784	0.0452147
0.470588	0.392655	0.647204	0.100725
0.375146	0.0881541	0.315978	0.181518
0.793005	0.130556	0.305958	0.182337
0.6719	0.122776	0.379486	0.131343
0.745356	0.745356	0.472265	0.335072
0.731432	0.731432	0.961024	0.64842
0.232473	0.106956	0.166367	0.0691351
0.661438	0.612037	0.27017	0.063713
0.484612	0.105975	0.288116	0.420674
1	1	0.407862	0.448479
0.6	0.462242	0.256284	0.0790108
0.49717	0.187317	0.211928	0.0849018
0.665564	0.157466	0.297783	0.0797276
0.111122	0.0566388	0.1568	0.112807
0.155227	0.05793	0.313256	0.151913
0.699854	0.699854	0.11712	0.0433658
0.934928	0.451251	0.240413	0.0508629
0.771389	0.33069	0.366362	0.0691916
0.665357	0.110869	0.278191	0.52942
0.297176	0.0861967	0.161815	0.222124
0.304911	0.266654	0.0484298	0.0303507
0.866025	0.866025	0.514225	0.394052
0.291521	0.0858934	0.233092	0.108156
0.651603	0.0855126	0.271821	0.115622
0.153295	0.0577412	0.36474	0.111559
0.229395	0.11686	0.0734346	0.0567349
0.3858	0.156011	0.244714	0.0620028
0.515079	0.533808	0.0629192	0.0633115
0.950747	0.401637	0.228167	0.0686302
0.985714	0.511485	0.300361	0.0677903
0.255724	0.056187	0.253425	0.257335
0.854061	0.126136	0.241315	0.0696234
0.8	1	0.647389	0.0857246
0.749354	0.663996	0.404582	0.0813387
0.963232	0.496402	0.279403	0.0769995
0.188285	0.0847301	0.519423	0.0672539
0.352431	0.117996	0.203628	0.236555
0.549895	0.277462	0.248351	0.119346
0.507517	0.162161	0.180097	0.0578736
1	1	0.425918	0.146872
0.373973	0.0643831	0.280317	0.696692
0.384078	0.110792	0.284656	0.114086
0.858418	0.345598	0.381007	0.0809155
0.888829	0.217374	0.336804	0.0664435
0.935003	0.117977	0.343255	0.191266
0.933847	0.0928237	0.396293	0.220539
0.353396	0.0537372	0.353897	0.404492
0.17319	0.0504418	0.323288	0.0920671
0.950267	0.197903	0.333481	0.0640963
0.396315	0.0691019	0.419395	0.240834
0.932745	0.171839	0.298862	0.0806577
1	1	0.772582	0.0987466
0.374154	0.0712454	0.290278	0.45844
0.343763	0.133974	0.393836	0.0990012
0.349215	0.0958796	0.430785	0.247744
0.484123	0.337174	0.48677	0.060042
0.973056	0.118427	0.384365	0.135197
1	1	0.155227	0.0570076
0.686349	0.640965	0.224556	0.0438165
0.382797	0.0696152	0.270864	0.106629
0.699854	0.666103	0.429282	0.0853712
0.964367	0.160134	0.302399	0.078436
1	1	0.657829	0.151697
0.188285	0.0847301	0.519423	0.067254
0.943073	0.165936	0.292807	0.0677231
0.263547	0.0631792	0.180718	0.568775
0.247164	0.0738418	0.359472	0.68532
0.236184	0.0432991	0.228694	0.429356
0.933847	0.0928237	0.396293	0.220539
0.590525	0.196805	0.237564	0.0702735
0.745356	1	0.410281	0.107021
0.745356	0.778644	0.630558	0.248101
0.2243	0.11686	0.577426	0.0552185
0.295003	0.0525101	0.37437	0.747945
0.3858	0.108013	0.432641	0.095828
1	0.682558	0.281037	0.111488
0.191557	0.139148	0.0363696	0.0324403
0.935003	0.117977	0.343255	0.191266
1	0.952441	0.418991	0.0592543
0.387702	0.100867	0.293626	0.1612
0.935003	0.117977	0.343255	0.191266
0.324144	0.0633158	0.153218	0.414453
0.333649	0.169579	0.13598	0.113228
0.628539	0.666667	0.0976889	0.10182
0.340827	0.112639	0.292221	0.143809
1	0.309136	0.285715	0.0411487
0.191557	0.139148	0.0397127	0.0324403
0.81347	0.21787	0.218073	0.0697112
0.285141	0.0735018	0.34811	0.0964494
0.232473	0.108013	0.523024	0.0912383
0.642052	0.229929	0.232563	0.0461302
0.951057	0.130518	0.362242	0.12453
1	1	0.824479	0.555027
0.556512	0.510296	0.451968	0.0565325
0.681035	0.56807	0.440914	0.0706857
0.192818	0.0481356	0.316914	0.581712
0.408875	0.104776	0.235861	0.0627722
0.214784	0.0662142	0.284072	0.656163
0.426349	0.0988999	0.262841	0.13263
0.332026	0.176657	0.118914	0.0679836
0.888088	0.390417	0.344923	0.0461975
0.587611	0.22478	0.27605	0.042757
0.412532	0.082838	0.410907	0.174639
1	1	1	1
0.325754	0.124394	0.145009	0.0810734
0.407862	0.264027	0.113076	0.0812092
0.234879	0.0422238	0.291016	0.686672
0.266504	0.121391	0.270052	0.0881047
1	0.205998	0.327784	0.067188
0.314821	0.0573321	0.532624	0.397244
0.218799	0.0729877	0.304882	0.154171
0.684704	0.381056	0.378412	0.0522042
0.68452	0.264735	0.245475	0.0324824
0.549895	0.138164	0.319385	0.110085
0.249394	0.128656	0.344126	0.044897
0.236844	0.0734627	0.308719	0.0713446
0.831479	0.777522	0.236914	0.0525906
0.489834	0.0597932	0.404963	0.662049
0.723443	0.717011	0.232037	0.0562714
0.899707	0.190923	0.272397	0.057456
0.19802	0.0852041	0.132413	0.066578
0.935003	0.117977	0.343255	0.191266
0.581011	0.651615	0.125905	0.043928
0.5065	0.326945	0.20928	0.0535215
0.256038	0.128656	0.0633932	0.0490054
0.679869	0.370752	0.47844	0.0589693
0.324676	0.0598778	0.292992	0.667066
0.215372	0.0358811	0.35621	0.799957
1	1	0.822753	0.42253
0.77454	0.0974348	0.369079	0.244437
0.61121	0.111974	0.291943	0.137904
0.188285	0.0847301	0.519423	0.0672539
0.384122	0.102383	0.256342	0.268797
0.8477	0.168774	0.291372	0.0525837
0.261722	0.0797317	0.386418	0.265723
1	1	0.477156	0.160523
0.866025	0.591691	0.209755	0.046562
0.490064	0.0841428	0.309594	0.134664
0.241883	0.138164	0.532555	0.102011
0.186709	0.0801143	0.30507	0.445448
0.97456	0.662844	0.321954	0.0455576
0.260772	0.0861795	0.0978844	0.105476
0.244968	0.0676755	0.22307	0.517943
0.188285	0.138656	0.0373137	0.0320637
0.952359	0.273722	0.3148	0.0597873
0.425918	0.277778	0.0741384	0.0516564
0.575356	0.114235	0.304634	0.148858
0.41309	0.104187	0.234671	0.0722051
0.800334	0.171384	0.341149	0.0524624
0.82576	0.271329	0.244426	0.0635782
0.248593	0.0756149	0.128661	0.329022
0.57496	0.471929	0.127759	0.0814788
0.323695	0.0852041	0.480576	0.0649453
0.256038	0.12749	0.048534	0.0440074
0.903334	0.0961733	0.33165	0.155989
0.487757	0.202233	0.191037	0.0713592
0.317796	0.0671712	0.228718	0.389147
0.481376	0.130375	0.262202	0.0635982
0.267326	0.0544723	0.286259	0.317787
0.935003	0.117977	0.343255	0.191266
0.304911	0.266654	0.0458447	0.0303507
0.890314	0.102496	0.385846	0.388272
0.153295	0.0577412	0.244536	0.111559
0.305492	0.0658849	0.2746	0.663346
0.407862	0.448479	0.0482379	0.0395353
0.529279	0.167241	0.264911	0.0594897
0.655233	0.13349	0.335933	0.0635645
0.621602	0.148396	0.242745	0.0764127
0.218854	0.108365	0.153365	0.138099
0.43589	0.613596	0.0503427	0.0264891
0.491682	0.0843674	0.48172	0.388947
0.997775	0.563947	0.310982	0.0512874
0.468777	0.0865609	0.361177	0.162738
0.193826	0.0584395	0.297027	0.14781
0.348101	0.0736482	0.190602	0.550367
0.379477	0.0927934	0.492131	0.218663
0.993902	0.113777	0.346205	0.109863
0.8	0.840896	0.0991549	0.0560053
0.173606	0.0680203	0.195037	0.397841
0.661438	0.379983	0.245328	0.0513226
0.41309	0.0710695	0.205398	0.11952
0.88712	0.386687	0.334255	0.04263
0.490963	0.069084	0.369553	0.366122
0.399653	0.390553	0.0536573	0.0224309
1	0.833333	0.570423	0.120463
0.534634	0.17	0.215447	0.0758056
1	1	0.971646	0.11963
0.227211	0.106956	0.331029	0.066554
0.261521	0.115545	0.194121	0.109578
0.964814	0.148657	0.349066	0.105848
0.299819	0.0577659	0.307454	0.123015
0.840213	0.115018	0.409019	0.285155
1	1	0.873778	0.131676
0.739984	0.249176	0.317664	0.0458502
0.933847	0.0928237	0.396293	0.220539
0.473255	0.106546	0.354283	0.163188
0.8	0.883117	0.207677	0.0696198
0.555032	0.118764	0.409058	0.149423
0.556512	0.470551	0.542204	0.0674001
0.153295	0.0577412	0.175659	0.111559
0.321853	0.0773492	0.505264	0.128094
0.266892	0.0504313	0.209006	0.632949
0.208696	0.0560688	0.35602	0.120372
0.497317	0.0689584	0.282719	0.319401
0.935003	0.117977	0.343255	0.191266
0.225021	0.0412894	0.26822	0.675598
0.47782	0.314615	0.324165	0.0465343
0.798273	0.072568	0.35333	0.266471
0.407862	0.405102	0.0768027	0.0270813
0.280663	0.0622728	0.361876	0.198263
1	1	0.638971	0.251987
0.977129	0.447063	0.267178	0.0457759
0.515079	0.547521	0.0841576	0.0456065
0.65381	0.376475	0.305312	0.0386369
0.739285	0.175586	0.331666	0.0642449
0.642234	0.0586342	0.406107	0.713706
0.19802	0.0852041	0.142409	0.0683997
1	1	0.916515	0.842096
0.8	0.883117	0.0401312	0.0327901
0.831479	0.740516	0.485444	0.0776906
0.382198	0.229121	0.337366	0.0652654
0.942809	1	0.704893	0.0818752
0.416598	0.277524	0.0629376	0.0641687
0.942809	0.877383	0.382687	0.229408
