Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.5833	0.524965	0.403504	0.343693
0.71213	0.508479	0.418656	0.663591
0.954632	0.580912	0.560021	0.45008
0.952561	0.567666	0.455367	0.195913
0.61594	0.442978	0.541234	0.520447
1	0.952441	0.534929	0.351448
0.864497	0.425554	0.601491	0.698887
0.992157	0.825447	0.483922	0.275853
0.832359	0.557497	0.497317	0.237239
0.61859	0.358537	0.487155	0.491369
0.665109	0.55115	0.800424	0.304225
0.826542	0.486412	0.548048	0.234265
0.5065	0.381222	0.40131	0.335648
0.583831	0.378714	0.42254	0.322095
1	1	1	1
0.857143	1	0.725573	0.629886
0.705341	0.404185	0.433635	0.277995
0.745356	0.760615	0.424218	0.285489
0.801143	0.7089	0.406858	0.231422
0.595635	0.269032	0.534156	0.79558
0.384615	0.377357	0.175499	0.214497
0.942809	0.942809	0.950739	0.773036
0.628539	0.657683	0.402934	0.583608
0.653197	0.491494	0.336231	0.18682
0.639162	0.266528	0.392717	0.339383
0.988455	0.575988	0.474115	0.25637
0.745356	0.682558	0.658652	0.659754
0.911674	0.661779	0.463944	0.19937
0.952441	0.944941	0.325547	0.452183
0.6	0.462242	0.611534	0.473144
0.556512	0.490592	0.794727	0.381267
1	1	0.384615	0.377357
0.425918	0.454967	0.29608	0.195285
0.945063	0.7403	0.568792	0.435425
0.946163	0.625229	0.629759	0.224658
0.890621	0.584161	0.509795	0.339566
0.625642	0.270498	0.233274	0.625712
0.967399	0.540943	0.496874	0.236465
0.853036	0.718982	0.453085	0.298656
0.876289	0.671134	0.512754	0.233011
0.587087	0.837545	0.235884	0.181601
1	1	0.76244	0.813342
0.745356	0.745356	0.778644	0.847311
0.484123	0.493387	0.443438	0.405537
0.367489	0.276362	0.402736	0.367959
0.44963	0.426307	0.377633	0.371433
0.6	0.6	0.289908	0.158748
0.363873	0.435772	0.440899	0.21924
0.911674	0.436951	0.527098	0.307552
0.425918	0.321288	0.411037	0.253002
