25.0(+/-15.81) 27.5(+/-5.0) 12.5(+/-11.18) 25.0(+/-11.18) 
10.0(+/-5.0) 20.0(+/-6.12) 7.5(+/-10.0) 25.0(+/-17.68) 
12.5(+/-7.91) 20.0(+/-6.12) 2.5(+/-5.0) 22.5(+/-14.58) 
7.5(+/-10.0) 12.5(+/-7.91) 7.5(+/-10.0) 20.0(+/-10.0) 
12.5(+/-7.91) 12.5(+/-7.91) 12.5(+/-13.69) 22.5(+/-9.35) 
10.0(+/-5.0) 10.0(+/-5.0) 15.0(+/-12.25) 20.0(+/-10.0) 
12.5(+/-13.69) 12.5(+/-0.0) 20.0(+/-16.96) 22.5(+/-9.35) 
20.0(+/-12.75) 10.0(+/-5.0) 10.0(+/-12.25) 25.0(+/-7.91) 
20.0(+/-16.96) 15.0(+/-5.0) 15.0(+/-9.35) 22.5(+/-9.35) 
20.0(+/-12.75) 12.5(+/-7.91) 10.0(+/-9.35) 22.5(+/-9.35) 
20.0(+/-10.0) 15.0(+/-5.0) 10.0(+/-9.35) 20.0(+/-10.0) 
27.5(+/-5.0) 15.0(+/-5.0) 10.0(+/-12.25) 22.5(+/-9.35) 
15.0(+/-14.58) 17.5(+/-6.12) 12.5(+/-11.18) 22.5(+/-9.35) 
20.0(+/-12.75) 17.5(+/-6.12) 12.5(+/-11.18) 22.5(+/-9.35) 
22.5(+/-9.35) 15.0(+/-5.0) 12.5(+/-7.91) 20.0(+/-6.12) 
17.5(+/-12.75) 15.0(+/-5.0) 17.5(+/-12.75) 20.0(+/-6.12) 
20.0(+/-6.12) 15.0(+/-5.0) 17.5(+/-12.75) 22.5(+/-9.35) 
12.5(+/-7.91) 17.5(+/-6.12) 25.0(+/-11.18) 22.5(+/-9.35) 
12.5(+/-7.91) 17.5(+/-6.12) 20.0(+/-6.12) 20.0(+/-6.12) 
10.0(+/-9.35) 15.0(+/-5.0) 15.0(+/-5.0) 20.0(+/-6.12) 
10.0(+/-9.35) 15.0(+/-5.0) 17.5(+/-10.0) 17.5(+/-6.12) 
