52.08(+/-16.8) 52.08(+/-11.22) 35.42(+/-8.59) 72.92(+/-4.66) 
54.17(+/-18.63) 56.25(+/-15.73) 37.5(+/-7.22) 75.0(+/-7.22) 
45.83(+/-21.25) 56.25(+/-15.73) 33.33(+/-5.89) 75.0(+/-7.22) 
41.67(+/-22.44) 58.33(+/-17.18) 33.33(+/-5.89) 75.0(+/-7.22) 
43.75(+/-23.66) 60.42(+/-16.8) 33.33(+/-9.32) 77.08(+/-4.66) 
43.75(+/-20.09) 60.42(+/-16.8) 39.58(+/-13.34) 77.08(+/-4.66) 
45.83(+/-21.25) 62.5(+/-17.68) 37.5(+/-10.21) 77.08(+/-4.66) 
45.83(+/-21.25) 58.33(+/-15.59) 33.33(+/-5.89) 77.08(+/-4.66) 
43.75(+/-20.09) 60.42(+/-19.65) 33.33(+/-9.32) 77.08(+/-4.66) 
41.67(+/-17.18) 58.33(+/-17.18) 31.25(+/-9.55) 77.08(+/-4.66) 
39.58(+/-19.65) 54.17(+/-15.59) 33.33(+/-9.32) 77.08(+/-4.66) 
39.58(+/-19.65) 54.17(+/-15.59) 37.5(+/-14.43) 77.08(+/-4.66) 
41.67(+/-22.44) 52.08(+/-16.8) 37.5(+/-14.43) 75.0(+/-0.0) 
35.42(+/-20.94) 52.08(+/-16.8) 39.58(+/-15.17) 75.0(+/-0.0) 
35.42(+/-20.94) 52.08(+/-16.8) 39.58(+/-15.17) 75.0(+/-0.0) 
35.42(+/-20.94) 52.08(+/-16.8) 37.5(+/-14.43) 75.0(+/-0.0) 
37.5(+/-22.82) 52.08(+/-16.8) 37.5(+/-14.43) 75.0(+/-0.0) 
37.5(+/-22.82) 52.08(+/-16.8) 39.58(+/-16.8) 75.0(+/-0.0) 
37.5(+/-22.82) 52.08(+/-16.8) 39.58(+/-16.8) 75.0(+/-0.0) 
35.42(+/-20.94) 50.0(+/-14.43) 39.58(+/-16.8) 75.0(+/-0.0) 
37.5(+/-22.82) 52.08(+/-15.17) 39.58(+/-16.8) 72.92(+/-4.66) 
