Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.398297	0.0918225	0.359441	0.344525
0.928793	0.151677	0.414291	0.219119
0.755428	0.220606	0.326452	0.102325
0.169474	0.0642178	0.304922	0.269863
0.942809	0.942809	0.801795	0.382681
0.457605	0.171651	0.272688	0.0713308
0.304911	0.278692	0.0667191	0.0608387
0.796385	0.0960409	0.418209	0.524988
0.918167	0.58206	0.258243	0.0598235
1	1	0.745356	0.692073
0.5913	0.221218	0.202207	0.0942224
0.920861	0.151886	0.384546	0.257733
0.322889	0.208547	0.170078	0.0859332
0.181897	0.0732805	0.362155	0.175849
0.761818	0.417058	0.395954	0.0624162
0.8	0.655401	0.26281	0.0643935
0.967278	0.833333	0.415724	0.102564
0.916515	0.298854	0.295027	0.0855321
0.903508	0.877383	0.30978	0.126319
0.518026	0.162511	0.288253	0.0695287
1	0.146078	0.370297	0.165804
0.368724	0.19569	0.25506	0.100357
0.657499	0.230626	0.391391	0.0757179
1	0.870551	0.415318	0.078745
0.565273	0.34159	0.303142	0.100612
0.906115	0.221965	0.383987	0.111376
0.730783	0.178016	0.523557	0.142818
0.925459	0.235299	0.37122	0.155658
0.890724	0.866025	0.399383	0.13385
0.781481	0.237876	0.31726	0.111571
0.285652	0.149182	0.177724	0.10102
0.920861	0.151886	0.384546	0.257733
0.214765	0.102348	0.403247	0.0921791
0.243612	0.0892559	0.197986	0.238337
0.628539	0.657683	0.129631	0.042214
1	1	0.304911	0.181741
1	1	1	0.866025
0.866025	0.866025	0.583821	0.15842
0.369042	0.164457	0.221269	0.434579
0.609507	0.554618	0.427386	0.0837922
0.761818	0.417058	0.395954	0.0624162
0.24745	0.169108	0.58962	0.0951269
0.181897	0.0732805	0.362155	0.175849
0.18506	0.0974296	0.251621	0.201124
0.504115	0.347364	0.225391	0.0553482
0.340475	0.137041	0.506766	0.156823
0.31114	0.0734657	0.182729	0.175173
0.552771	0.327225	0.22583	0.0793014
0.317635	0.0902446	0.256087	0.206587
0.57735	0.555764	0.184432	0.0727267
0.811787	0.190532	0.390814	0.134585
0.866025	0.866025	0.222523	0.147954
0.349717	0.221218	0.492473	0.0876754
0.484123	0.494321	0.0704616	0.0841191
0.581124	0.581124	0.865575	0.564589
0.216915	0.101084	0.438646	0.105331
0.395793	0.165016	0.139845	0.122754
0.85441	0.143397	0.399402	0.307392
0.326406	0.300483	0.163155	0.0435972
0.57496	0.640141	0.189692	0.0916552
0.446594	0.311161	0.291296	0.0955758
0.9276	0.713288	0.560008	0.204186
0.351563	0.15217	0.367947	0.0662368
0.184893	0.0734657	0.181052	0.183593
0.315632	0.0813008	0.332502	0.0721821
0.74067	0.0844086	0.441376	0.569699
0.6	0.262469	0.189064	0.0818926
0.361034	0.11269	0.210185	0.124615
0.782805	0.264874	0.347343	0.0871314
0.866025	0.793701	0.497919	0.114057
0.8	0.5	0.394201	0.0796002
0.554587	0.575343	0.19228	0.139385
0.458123	0.475028	0.121763	0.0669655
0.359747	0.0879581	0.285967	0.432606
0.972145	0.264563	0.416682	0.0982622
0.253966	0.236924	0.0591676	0.0458173
0.942809	0.942809	0.955343	0.759762
0.380215	0.120006	0.202848	0.143812
0.866025	0.574294	0.253377	0.0774401
0.6	0.624512	0.11399	0.0649711
0.305971	0.075715	0.325395	0.565377
0.291661	0.257283	0.060712	0.0365442
0.8	0.728785	0.557649	0.111538
0.832259	0.762722	0.587375	0.171729
0.532939	0.630568	0.0820584	0.0465591
0.475726	0.258127	0.183726	0.106553
0.181897	0.0732805	0.449185	0.175849
0.314817	0.108571	0.142911	0.176104
0.426463	0.0937583	0.174727	0.154973
0.82114	0.270855	0.362015	0.0777888
0.912811	0.516554	0.361177	0.0671838
0.3233	0.0648899	0.195753	0.538108
0.768618	0.268187	0.407625	0.089607
0.55945	0.303458	0.227756	0.0643126
0.612271	0.314111	0.275297	0.0709949
0.952749	0.121246	0.380726	0.212988
0.30162	0.171657	0.15239	0.0824107
0.946238	0.443291	0.335685	0.072746
0.300553	0.172654	0.191209	0.121744
0.24745	0.169108	0.58962	0.0951269
0.70592	0.385592	0.489675	0.0709308
0.966903	0.217328	0.426264	0.103344
1	1	0.824942	0.381361
1	1	0.184893	0.0732805
0.231995	0.140457	0.368138	0.0732234
0.424311	0.150869	0.326686	0.178208
0.279773	0.0829769	0.422808	0.707877
0.793838	0.187681	0.361323	0.0743015
0.866025	0.916486	0.127967	0.0505652
0.255788	0.0732805	0.192163	0.176174
1	1	0.525108	0.234368
1	1	0.253966	0.160464
0.928793	0.151677	0.414291	0.219119
0.515286	0.141266	0.28913	0.21261
0.348798	0.0607883	0.38352	0.661746
0.291661	0.257283	0.103881	0.036544
0.418528	0.239137	0.300362	0.0751943
0.947839	0.251795	0.332519	0.100048
0.920861	0.151886	0.384546	0.257733
0.225185	0.0890943	0.211663	0.090071
0.36591	0.118828	0.134751	0.119771
0.253966	0.169108	0.0594129	0.0950732
0.8	0.731432	0.530959	0.153715
0.971889	0.418032	0.459145	0.095275
0.975084	0.241437	0.345121	0.0885495
0.532939	0.395412	0.431625	0.065491
0.699854	0.727416	0.702793	0.185391
0.613198	0.130055	0.283234	0.248307
0.293798	0.0693265	0.260992	0.274449
0.253966	0.148148	0.499232	0.0937841
0.975084	0.241437	0.345121	0.0885495
0.481303	0.159617	0.437166	0.185651
0.308515	0.283064	0.135668	0.0615157
0.527367	0.188657	0.247239	0.0924594
0.505357	0.260706	0.143664	0.0852437
0.866025	0.866025	0.706182	0.460073
0.504115	0.365908	0.171322	0.0458092
0.356187	0.0999753	0.275486	0.193404
0.986013	0.789409	0.338809	0.0971109
0.295767	0.0665561	0.388187	0.557721
0.349985	0.117862	0.259411	0.11174
0.345213	0.298763	0.174913	0.0784427
0.642049	0.240932	0.353929	0.0920686
1	0.290743	0.358674	0.0679264
0.290285	0.133066	0.4808	0.247015
0.31114	0.108853	0.19186	0.118908
0.783375	0.342304	0.386267	0.107764
0.788595	0.171657	0.366246	0.0861845
0.282739	0.200496	0.251642	0.0680591
1	1	0.29818	0.305795
0.926798	0.368561	0.436836	0.105023
0.699854	0.650277	0.242414	0.0820126
0.55508	0.498977	0.268104	0.0513015
0.793312	0.469336	0.196642	0.0688337
0.379468	0.0739366	0.367988	0.553865
0.308515	0.312292	0.0987925	0.0826178
0.680552	0.431202	0.367026	0.0963543
0.304212	0.0593417	0.28387	0.673867
0.378427	0.0550802	0.313488	0.366312
0.472213	0.106534	0.258793	0.465549
0.291661	0.257283	0.108842	0.0554393
0.340116	0.143052	0.248147	0.124876
0.552771	0.433963	0.18752	0.0822543
0.361711	0.104752	0.255041	0.0776113
0.245615	0.0906546	0.345899	0.518308
0.916515	0.74344	0.21959	0.0641576
0.869903	0.592306	0.324314	0.0768766
0.629962	0.258543	0.346935	0.0742097
0.868795	0.46679	0.350871	0.0729381
0.82114	0.296604	0.327131	0.0593411
0.461613	0.195586	0.451518	0.101305
0.216915	0.104752	0.358297	0.0886924
0.384616	0.25328	0.402631	0.0762738
0.736948	0.333679	0.310376	0.0906561
0.285942	0.100276	0.119315	0.334235
0.772285	0.734018	0.374079	0.085787
0.407862	0.380521	0.101438	0.0411511
0.454489	0.12617	0.165981	0.110144
0.361711	0.211526	0.178718	0.0642001
0.558956	0.128224	0.268225	0.256209
0.308515	0.212861	0.597952	0.0940584
0.866025	0.793701	0.628569	0.246881
0.308754	0.0698136	0.355465	0.271342
0.417706	0.108371	0.300575	0.386268
0.745356	0.804116	0.260452	0.0710133
0.882611	0.12037	0.438184	0.534519
0.278957	0.0932223	0.387051	0.517948
0.312892	0.214675	0.344753	0.0787624
0.655468	0.230736	0.235287	0.0980856
0.905405	0.198018	0.417287	0.0977582
0.784298	0.279124	0.322738	0.091905
0.214196	0.139644	0.215632	0.052698
0.971889	0.841847	0.524491	0.192966
0.413329	0.0700234	0.231944	0.491476
0.57496	0.435275	0.402714	0.0906352
0.970381	0.31933	0.37045	0.100086
