41.67(+/-9.32) 66.67(+/-11.79) 33.33(+/-11.79) 85.42(+/-11.22) 
37.5(+/-10.21) 68.75(+/-13.98) 31.25(+/-9.55) 85.42(+/-11.22) 
39.58(+/-8.59) 64.58(+/-8.59) 35.42(+/-15.17) 85.42(+/-11.22) 
39.58(+/-8.59) 64.58(+/-13.34) 35.42(+/-15.17) 85.42(+/-11.22) 
45.83(+/-9.32) 62.5(+/-14.43) 35.42(+/-16.8) 85.42(+/-11.22) 
43.75(+/-9.55) 62.5(+/-10.21) 33.33(+/-15.59) 85.42(+/-11.22) 
41.67(+/-11.79) 64.58(+/-13.34) 35.42(+/-16.8) 85.42(+/-11.22) 
39.58(+/-11.22) 64.58(+/-8.59) 33.33(+/-13.82) 85.42(+/-11.22) 
39.58(+/-11.22) 64.58(+/-8.59) 33.33(+/-13.82) 85.42(+/-11.22) 
45.83(+/-9.32) 66.67(+/-9.32) 33.33(+/-13.82) 85.42(+/-11.22) 
45.83(+/-9.32) 66.67(+/-9.32) 33.33(+/-13.82) 85.42(+/-11.22) 
50.0(+/-7.22) 66.67(+/-9.32) 33.33(+/-13.82) 85.42(+/-11.22) 
43.75(+/-13.98) 64.58(+/-13.34) 35.42(+/-16.8) 85.42(+/-11.22) 
41.67(+/-17.18) 62.5(+/-12.5) 37.5(+/-16.14) 83.33(+/-9.32) 
41.67(+/-17.18) 62.5(+/-12.5) 37.5(+/-16.14) 85.42(+/-11.22) 
39.58(+/-13.34) 64.58(+/-15.17) 37.5(+/-16.14) 85.42(+/-11.22) 
39.58(+/-11.22) 64.58(+/-15.17) 37.5(+/-16.14) 83.33(+/-9.32) 
45.83(+/-11.79) 66.67(+/-15.59) 37.5(+/-16.14) 83.33(+/-9.32) 
43.75(+/-11.97) 66.67(+/-15.59) 37.5(+/-16.14) 83.33(+/-9.32) 
37.5(+/-14.43) 66.67(+/-15.59) 37.5(+/-16.14) 83.33(+/-9.32) 
37.5(+/-14.43) 66.67(+/-15.59) 35.42(+/-13.34) 83.33(+/-9.32) 
