14.58(+/-11.22) 29.17(+/-13.82) 37.5(+/-12.5) 27.08(+/-8.59) 
22.92(+/-13.34) 31.25(+/-11.97) 37.5(+/-10.21) 33.33(+/-15.59) 
22.92(+/-8.59) 25.0(+/-10.21) 41.67(+/-9.32) 31.25(+/-11.97) 
20.83(+/-9.32) 29.17(+/-11.79) 41.67(+/-9.32) 27.08(+/-13.34) 
20.83(+/-13.82) 22.92(+/-13.34) 39.58(+/-8.59) 29.17(+/-9.32) 
16.67(+/-13.82) 31.25(+/-11.97) 39.58(+/-8.59) 31.25(+/-11.97) 
20.83(+/-9.32) 33.33(+/-11.79) 37.5(+/-7.22) 29.17(+/-9.32) 
16.67(+/-11.79) 29.17(+/-15.59) 39.58(+/-8.59) 29.17(+/-11.79) 
20.83(+/-9.32) 25.0(+/-10.21) 37.5(+/-7.22) 31.25(+/-11.97) 
16.67(+/-9.32) 27.08(+/-13.34) 37.5(+/-7.22) 33.33(+/-9.32) 
25.0(+/-10.21) 31.25(+/-9.55) 39.58(+/-8.59) 33.33(+/-9.32) 
20.83(+/-5.89) 29.17(+/-9.32) 39.58(+/-8.59) 33.33(+/-9.32) 
31.25(+/-15.73) 29.17(+/-9.32) 45.83(+/-5.89) 33.33(+/-9.32) 
22.92(+/-13.34) 22.92(+/-8.59) 43.75(+/-9.55) 33.33(+/-9.32) 
18.75(+/-9.55) 25.0(+/-7.22) 43.75(+/-9.55) 31.25(+/-9.55) 
18.75(+/-6.25) 29.17(+/-5.89) 47.92(+/-13.34) 33.33(+/-11.79) 
16.67(+/-5.89) 27.08(+/-4.66) 41.67(+/-9.32) 33.33(+/-9.32) 
20.83(+/-5.89) 22.92(+/-8.59) 41.67(+/-5.89) 39.58(+/-13.34) 
20.83(+/-9.32) 27.08(+/-4.66) 50.0(+/-10.21) 39.58(+/-13.34) 
20.83(+/-11.79) 22.92(+/-4.66) 50.0(+/-14.43) 39.58(+/-13.34) 
20.83(+/-5.89) 22.92(+/-8.59) 47.92(+/-13.34) 41.67(+/-15.59) 
