Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.41764	0.0620522	0.345738	0.603052
0.998614	0.331675	0.347647	0.0662448
0.957256	0.180687	0.401941	0.146541
0.303397	0.122745	0.196931	0.0908626
0.770932	0.129087	0.461623	0.214506
0.503007	0.14753	0.235302	0.0767777
0.858723	0.7493	0.312873	0.0534941
0.393255	0.113016	0.396124	0.11305
0.831479	0.697848	0.31753	0.0627578
0.418382	0.161867	0.256314	0.147012
0.604845	0.0875584	0.301379	0.200928
0.786653	0.249278	0.338814	0.0552542
1	1	1	0.22307
0.231799	0.110661	0.0760878	0.0859838
0.91355	0.210102	0.389389	0.114785
0.904257	0.164306	0.36734	0.103785
0.806106	0.160599	0.429271	0.117346
0.691154	0.234857	0.280662	0.081246
0.839947	0.666103	0.454051	0.0846036
0.185777	0.134763	0.426722	0.0919406
0.312824	0.100466	0.44035	0.130427
0.482912	0.138775	0.253386	0.0852496
1	1	0.332201	0.183343
0.427442	0.146425	0.449491	0.0849407
0.361262	0.231848	0.170791	0.0791005
0.237332	0.110661	0.343085	0.085141
0.204468	0.0967435	0.259939	0.0822349
0.529279	0.219556	0.271255	0.0554958
0.525577	0.158336	0.220137	0.0682422
0.231799	0.110661	0.400372	0.0859838
0.204468	0.0967436	0.353065	0.0822352
0.866025	0.784596	0.502057	0.159032
0.282602	0.171005	0.569996	0.0827623
0.491697	0.211724	0.442267	0.175214
0.535491	0.17533	0.29593	0.0881704
0.475181	0.0815894	0.498226	0.530613
0.942809	1	0.382379	0.10384
0.485078	0.141826	0.486478	0.0914634
0.685725	0.160095	0.439301	0.0665011
0.402292	0.0811044	0.343896	0.244162
0.343837	0.138761	0.389843	0.072935
0.57496	0.667049	0.17274	0.042604
0.58978	0.105695	0.426955	0.136617
0.958333	0.929797	0.405867	0.0901127
0.669063	0.187547	0.461755	0.11813
1	1	0.291661	0.166176
0.396147	0.278085	0.529281	0.0975796
1	0.327824	0.321224	0.0550531
0.414239	0.0781379	0.463503	0.466287
0.256038	0.226223	0.0858816	0.0552039
0.49852	0.306911	0.376592	0.0756401
0.41605	0.0781061	0.495166	0.534914
0.531283	0.0828102	0.334989	0.164103
0.766955	0.117607	0.373763	0.372954
1	1	0.706922	0.197596
0.374056	0.404525	0.112444	0.0478566
0.552771	0.481445	0.442054	0.06976
0.339229	0.0967435	0.279755	0.081118
0.974601	0.224849	0.378023	0.126591
0.355346	0.288605	0.57373	0.0969297
0.597667	0.129206	0.328671	0.122423
0.319903	0.0540873	0.27067	0.675427
0.678522	0.66503	0.509731	0.120954
0.965453	0.759892	0.323337	0.0770957
0.256038	0.151242	0.233887	0.0790265
0.448482	0.0579356	0.400797	0.488814
0.237332	0.110661	0.17608	0.0914007
0.243696	0.121663	0.531733	0.0774673
0.857143	0.69282	0.793727	0.0907243
0.458086	0.0800036	0.385929	0.374652
0.866306	0.186294	0.432725	0.0885488
0.362827	0.110519	0.45216	0.0729048
0.832259	0.414521	0.481842	0.0749214
0.484123	0.403443	0.278316	0.0553118
0.434837	0.194937	0.512	0.0976399
0.249228	0.0727955	0.220324	0.296247
0.837168	0.105483	0.412558	0.401383
0.960943	0.216031	0.4347	0.0795164
0.322643	0.145803	0.252804	0.265485
0.528951	0.143542	0.49547	0.101399
0.866025	1	0.85704	0.120525
0.530535	0.230827	0.456269	0.086039
0.941326	0.248729	0.29694	0.0807933
0.977778	0.428728	0.365943	0.0838789
0.909643	0.22906	0.338519	0.0674302
0.557678	0.112244	0.45193	0.175044
0.491039	0.135649	0.374926	0.158083
0.483199	0.113016	0.44348	0.107271
0.28172	0.103743	0.254053	0.0848994
0.433584	0.0751744	0.316239	0.535687
0.866025	0.881761	0.246679	0.123182
0.863937	0.117736	0.34615	0.105904
1	1	0.918904	0.231751
0.359778	0.0684854	0.298455	0.533846
0.601573	0.232004	0.44496	0.0695845
0.831479	0.623821	0.292283	0.045027
0.649477	0.146305	0.440774	0.103973
0.661438	0.540595	0.407495	0.0682257
