Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.576094	0.377015	0.464439	0.362008
0.981376	0.485896	0.460453	0.292871
0.334332	0.31922	0.5722	0.190058
0.641622	0.277334	0.325225	0.694316
0.981376	0.485896	0.460453	0.292871
0.919136	0.489638	0.385156	0.193654
0.597691	0.362599	0.491109	0.356547
0.965453	0.759892	0.529092	0.25868
0.942809	0.781041	0.511638	0.177246
0.79155	0.760522	0.609829	0.397781
0.721113	0.306274	0.487888	0.222417
0.868158	0.363189	0.564085	0.617853
0.942809	0.656812	0.438365	0.19696
0.8313	0.344973	0.436812	0.192956
0.6	0.325898	0.408002	0.352658
0.620755	0.385446	0.654999	0.271845
0.725	0.392492	0.46118	0.140783
0.584426	0.322953	0.33676	0.20072
0.449845	0.208933	0.514059	0.38739
1	1	1	1
0.857143	1	0.668506	0.44051
0.761474	0.25403	0.433894	0.147882
0.638971	0.649132	0.361865	0.220627
0.380995	0.360219	0.624282	0.223318
0.83814	0.448933	0.677775	0.252472
0.784128	0.589967	0.343241	0.182505
0.509029	0.211974	0.465755	0.782112
0.371154	0.351921	0.134676	0.160085
0.866025	0.866025	0.904091	0.628958
0.57496	0.595963	0.432822	0.482167
0.606002	0.488142	0.285979	0.171798
0.639162	0.274741	0.3307	0.155224
0.980791	0.554386	0.403418	0.157642
0.43909	0.395503	0.54609	0.238358
0.908632	0.374346	0.475285	0.193416
0.429488	0.31274	0.418132	0.153414
0.552771	0.432498	0.648385	0.320465
0.515686	0.455854	0.748476	0.249961
1	1	0.371154	0.351921
0.347985	0.358892	0.228434	0.146239
0.914666	0.530842	0.500055	0.316074
0.9276	0.573143	0.562788	0.221299
0.94261	0.50545	0.524819	0.193505
0.893209	0.488782	0.409965	0.310971
0.542437	0.234856	0.195451	0.485201
0.97074	0.471903	0.428311	0.210874
0.884472	0.539246	0.413822	0.155254
0.586101	0.285015	0.404734	0.222741
0.484123	0.74631	0.182459	0.178536
1	1	0.776895	0.802413
0.552771	0.532613	0.276723	0.145582
0.542586	0.402816	0.358175	0.315429
0.355346	0.239426	0.367756	0.258365
0.399964	0.296074	0.369154	0.400853
0.498888	0.511569	0.337408	0.15043
0.282476	0.338871	0.361613	0.176149
0.860177	0.327964	0.474262	0.217744
0.347985	0.234984	0.352528	0.213716
0.619622	0.531977	0.453213	0.219064
0.650495	0.307086	0.317972	0.194321
0.891389	0.421717	0.524369	0.416458
0.826207	0.538807	0.56839	0.368417
0.988686	0.432095	0.477699	0.219343
0.821656	0.511578	0.431069	0.237234
0.49436	0.458947	0.403097	0.191336
0.907036	0.378018	0.41353	0.453537
1	0.866025	0.572722	0.376378
0.998866	0.733462	0.432054	0.220073
0.857143	1	0.668506	0.44051
0.506854	0.426108	0.763013	0.269843
0.848675	0.43849	0.446355	0.211579
0.993808	0.711389	0.585321	0.195177
0.947324	0.589376	0.593609	0.246804
0.699854	0.642771	0.454597	0.512406
0.552771	0.622816	0.136334	0.163571
0.908632	0.374346	0.475285	0.193416
0.605076	0.254776	0.766634	0.404083
0.584426	0.440071	0.552745	0.270237
0.50673	0.249215	0.315506	0.600824
1	1	1	1
0.940733	0.626819	0.524929	0.194092
0.747182	0.174707	0.427545	0.501653
0.805231	0.405624	0.425082	0.344095
0.421223	0.144298	0.542924	0.475014
0.445916	0.346137	0.34601	0.305571
0.873994	0.328177	0.384642	0.170565
0.523961	0.426108	0.49862	0.25759
0.783302	0.769862	0.474269	0.199186
0.383856	0.130735	0.319036	0.202695
0.87562	0.316475	0.481127	0.264489
0.831479	0.528339	0.399074	0.368885
0.458972	0.215899	0.65164	0.354332
0.989743	0.880253	0.634762	0.355886
0.395933	0.29954	0.342704	0.202814
0.374019	0.370736	0.287899	0.116754
0.860604	0.574486	0.541836	0.169535
0.942809	0.942809	0.872882	0.409171
0.334332	0.31922	0.5722	0.190058
0.652029	0.227259	0.451067	0.485032
0.508696	0.146206	0.512525	0.67167
0.380995	0.360219	0.624282	0.223318
0.870249	0.419839	0.358458	0.264716
0.631963	0.258298	0.335132	0.419297
0.57496	0.595963	0.726481	0.264997
0.813381	0.47754	0.593636	0.277272
0.464766	0.195023	0.388289	0.702719
0.866025	0.866025	0.322914	0.125816
0.399653	0.416418	0.111779	0.135094
0.79155	0.805145	0.328643	0.13247
0.394515	0.251191	0.205098	0.258346
0.792089	0.32766	0.540662	0.215711
0.627949	0.18698	0.32455	0.64647
0.968246	0.860997	0.511168	0.247018
0.714143	0.728043	0.24215	0.117609
0.951805	0.64311	0.561925	0.206738
0.552771	0.432498	0.297123	0.305582
0.815115	0.783767	0.347041	0.155917
0.479188	0.187787	0.287714	0.677249
0.980791	0.554386	0.403418	0.157642
0.647676	0.539546	0.351244	0.111381
0.881273	0.357137	0.486567	0.228704
0.866025	0.866025	0.724504	0.332894
0.97074	0.471903	0.428311	0.210874
0.694541	0.515625	0.357079	0.297722
1	0.952441	0.483768	0.226235
0.399653	0.402816	0.390001	0.230358
0.950147	0.553781	0.471056	0.197776
0.84265	0.851739	0.398447	0.208045
0.41564	0.349799	0.289817	0.18485
0.907053	0.455235	0.420136	0.236371
0.84265	0.820549	0.50485	0.212133
0.525644	0.27016	0.393894	0.364385
0.79155	0.805145	0.328643	0.13247
0.909059	0.815514	0.385596	0.131514
1	1	1	1
0.474229	0.275406	0.277693	0.269562
0.848586	0.43774	0.427926	0.179734
0.455986	0.294469	0.519104	0.336457
0.689587	0.356857	0.402478	0.387138
0.737185	0.618825	0.485823	0.130583
0.552771	0.566197	0.189906	0.143557
0.866025	0.866025	0.582428	0.310987
0.584426	0.440071	0.470424	0.231667
1	1	0.552771	0.622816
0.952761	0.532073	0.679868	0.242929
0.860177	0.327964	0.474262	0.217744
0.371154	0.351921	0.413686	0.134303
1	1	0.913483	0.763615
0.607989	0.247383	0.336749	0.439402
0.699854	0.744484	0.502076	0.201806
0.699854	0.642771	0.518989	0.322164
0.479396	0.210621	0.396104	0.43118
0.866025	0.793701	0.759383	0.384509
0.986013	0.478597	0.511005	0.168909
1	0.952441	0.431217	0.189271
0.645826	0.369803	0.496828	0.258907
0.663758	0.448215	0.490444	0.280267
0.639802	0.561874	0.433493	0.179426
0.501285	0.624753	0.339029	0.211063
0.798046	0.330102	0.527821	0.204171
0.679869	0.405153	0.342065	0.246129
0.950147	0.553781	0.471056	0.197776
0.798851	0.252085	0.513457	0.256363
0.607604	0.189691	0.308106	0.715915
0.989743	0.743941	0.568543	0.231292
0.563134	0.593916	0.341029	0.231487
0.970696	0.548663	0.40468	0.124489
0.923401	0.493159	0.43879	0.217248
0.97074	0.471903	0.428311	0.210874
