22.92(+/-13.63) 29.58(+/-10.48) 27.08(+/-12.95) 37.29(+/-13.68) 
24.58(+/-13.49) 30.62(+/-10.81) 25.21(+/-13.08) 37.08(+/-12.5) 
21.25(+/-13.63) 29.38(+/-11.29) 25.83(+/-11.89) 37.08(+/-11.57) 
22.08(+/-12.94) 30.83(+/-12.27) 27.08(+/-11.89) 38.75(+/-11.75) 
25.21(+/-12.46) 31.04(+/-11.11) 26.67(+/-11.66) 38.12(+/-11.59) 
22.92(+/-10.77) 31.04(+/-11.63) 26.25(+/-12.73) 38.13(+/-11.73) 
25.21(+/-12.58) 31.46(+/-11.76) 27.29(+/-12.47) 38.96(+/-12.61) 
24.38(+/-13.13) 30.62(+/-11.55) 28.75(+/-12.02) 38.75(+/-12.92) 
22.71(+/-13.08) 30.83(+/-10.37) 27.71(+/-12.92) 37.92(+/-13.08) 
23.96(+/-12.81) 31.04(+/-9.97) 28.96(+/-12.78) 37.71(+/-13.54) 
24.58(+/-13.47) 30.84(+/-11.48) 28.75(+/-13.85) 37.92(+/-14.06) 
25.62(+/-14.18) 32.71(+/-11.08) 28.75(+/-12.87) 38.12(+/-13.63) 
24.58(+/-13.69) 31.67(+/-10.56) 28.54(+/-12.56) 37.29(+/-14.36) 
23.12(+/-11.35) 31.46(+/-12.58) 28.34(+/-12.74) 38.54(+/-13.04) 
23.96(+/-12.64) 31.46(+/-11.7) 28.33(+/-12.27) 38.75(+/-13.88) 
22.5(+/-14.64) 31.67(+/-11.66) 28.54(+/-12.66) 38.96(+/-13.95) 
23.75(+/-13.43) 31.67(+/-12.33) 27.71(+/-13.72) 38.33(+/-14.21) 
23.54(+/-12.26) 32.08(+/-12.09) 29.59(+/-13.61) 39.79(+/-13.34) 
23.96(+/-12.17) 32.08(+/-10.99) 30.42(+/-13.18) 38.96(+/-12.8) 
23.33(+/-10.91) 33.13(+/-11.56) 30.21(+/-12.72) 38.96(+/-13.57) 
24.17(+/-10.62) 32.5(+/-12.12) 30.21(+/-12.48) 39.16(+/-13.03) 
