59.92(+/-35.23) 61.51(+/-33.93) 65.48(+/-34.55) 68.65(+/-33.54) 
59.13(+/-34.6) 61.91(+/-33.73) 65.21(+/-34.46) 68.65(+/-33.34) 
55.95(+/-34.6) 62.57(+/-34.39) 65.34(+/-34.07) 67.06(+/-33.4) 
57.27(+/-35.18) 62.96(+/-33.12) 65.21(+/-34.26) 67.33(+/-33.66) 
57.41(+/-33.89) 63.23(+/-34.01) 65.34(+/-34.29) 67.86(+/-33.39) 
56.48(+/-35.64) 62.56(+/-33.93) 65.21(+/-33.66) 66.93(+/-33.95) 
58.33(+/-35.01) 63.23(+/-33.81) 65.08(+/-33.85) 67.2(+/-34.21) 
57.94(+/-37.37) 66.27(+/-33.71) 65.48(+/-34.18) 67.19(+/-33.61) 
61.11(+/-35.05) 65.74(+/-33.68) 65.08(+/-34.04) 66.27(+/-33.6) 
60.71(+/-34.92) 64.02(+/-33.75) 65.08(+/-34.25) 67.06(+/-33.38) 
61.9(+/-34.56) 62.83(+/-33.41) 65.08(+/-34.25) 66.8(+/-33.1) 
55.82(+/-35.01) 63.1(+/-33.72) 65.21(+/-34.47) 67.2(+/-32.41) 
57.67(+/-35.05) 64.02(+/-34.39) 65.08(+/-34.45) 66.54(+/-33.03) 
61.77(+/-35.03) 63.76(+/-34.33) 64.55(+/-33.91) 67.2(+/-32.61) 
58.47(+/-34.12) 64.15(+/-32.98) 64.68(+/-33.75) 67.99(+/-32.62) 
59.39(+/-34.04) 61.51(+/-33.28) 64.55(+/-34.3) 66.8(+/-33.33) 
60.19(+/-34.56) 63.89(+/-32.95) 65.08(+/-34.27) 66.8(+/-32.88) 
58.6(+/-34.43) 61.64(+/-34.33) 65.08(+/-34.07) 67.46(+/-32.9) 
61.77(+/-34.54) 62.7(+/-33.93) 65.08(+/-34.05) 66.66(+/-32.88) 
58.34(+/-34.05) 59.39(+/-34.4) 65.08(+/-34.07) 66.53(+/-32.92) 
62.04(+/-34.12) 63.09(+/-34.57) 64.29(+/-34.03) 66.67(+/-33.23) 
