21.75(+/-11.28) 27.75(+/-11.29) 19.75(+/-11.16) 45.25(+/-15.09) 
23.5(+/-12.62) 28.25(+/-12.16) 19.5(+/-10.02) 44.5(+/-15.29) 
23.5(+/-11.82) 27.75(+/-11.37) 21.5(+/-12.3) 43.75(+/-15.16) 
22.5(+/-11.69) 26.75(+/-10.04) 20.75(+/-13.22) 44.5(+/-15.85) 
23.0(+/-9.33) 28.25(+/-11.33) 20.75(+/-12.75) 43.5(+/-15.2) 
23.25(+/-10.2) 27.75(+/-11.79) 20.0(+/-12.26) 43.5(+/-15.09) 
26.25(+/-12.73) 27.25(+/-11.9) 19.75(+/-10.7) 43.5(+/-15.08) 
24.25(+/-11.05) 28.75(+/-11.89) 20.0(+/-10.4) 43.5(+/-15.17) 
24.0(+/-11.15) 29.0(+/-12.71) 20.0(+/-11.66) 44.5(+/-14.35) 
26.0(+/-11.81) 28.75(+/-12.92) 19.75(+/-10.52) 44.0(+/-14.75) 
24.0(+/-11.8) 27.75(+/-12.56) 18.75(+/-10.56) 44.25(+/-14.68) 
22.25(+/-13.43) 29.0(+/-12.28) 19.0(+/-10.74) 43.5(+/-14.22) 
21.5(+/-11.78) 28.75(+/-13.36) 19.5(+/-11.31) 43.5(+/-15.23) 
20.25(+/-11.44) 29.0(+/-13.89) 19.5(+/-11.45) 43.25(+/-13.95) 
21.25(+/-12.77) 27.25(+/-11.65) 19.75(+/-10.39) 43.25(+/-13.76) 
20.0(+/-11.7) 28.5(+/-13.25) 19.75(+/-10.74) 43.5(+/-13.64) 
21.25(+/-13.19) 28.5(+/-13.15) 20.0(+/-12.11) 43.5(+/-14.03) 
22.25(+/-14.01) 29.0(+/-13.04) 20.0(+/-11.48) 43.25(+/-13.65) 
21.5(+/-13.19) 29.25(+/-13.7) 18.5(+/-11.11) 43.75(+/-13.85) 
21.0(+/-11.38) 28.0(+/-13.3) 17.5(+/-11.39) 43.25(+/-14.11) 
24.0(+/-13.38) 28.75(+/-12.52) 18.75(+/-12.23) 44.0(+/-14.51) 
