29.58(+/-13.11) 39.17(+/-13.64) 26.67(+/-9.74) 52.71(+/-12.42) 
30.0(+/-12.2) 37.5(+/-11.94) 26.46(+/-10.23) 52.92(+/-12.88) 
30.0(+/-11.81) 37.5(+/-11.54) 26.25(+/-10.74) 53.33(+/-12.85) 
30.62(+/-13.98) 37.71(+/-10.9) 25.21(+/-11.04) 53.54(+/-13.51) 
30.0(+/-14.19) 35.83(+/-11.44) 25.63(+/-11.62) 53.54(+/-13.03) 
28.75(+/-10.83) 37.08(+/-13.84) 27.92(+/-10.76) 53.12(+/-12.88) 
28.13(+/-12.57) 37.92(+/-12.68) 27.08(+/-12.36) 52.29(+/-12.42) 
28.12(+/-12.84) 36.88(+/-12.61) 27.29(+/-12.3) 51.87(+/-14.0) 
29.37(+/-11.92) 36.67(+/-12.38) 26.67(+/-12.42) 52.29(+/-14.31) 
27.92(+/-11.21) 36.25(+/-12.32) 26.46(+/-11.55) 53.33(+/-14.0) 
26.67(+/-11.47) 35.42(+/-11.05) 26.67(+/-12.0) 53.33(+/-14.42) 
27.08(+/-13.59) 35.0(+/-11.06) 28.75(+/-12.33) 52.08(+/-13.85) 
27.29(+/-13.41) 35.41(+/-11.64) 29.37(+/-12.24) 51.67(+/-14.49) 
28.33(+/-13.83) 36.67(+/-11.26) 28.34(+/-12.94) 52.08(+/-14.1) 
27.92(+/-12.56) 37.5(+/-12.13) 29.17(+/-12.14) 51.67(+/-14.82) 
27.71(+/-13.25) 37.5(+/-11.46) 28.54(+/-12.51) 52.29(+/-14.28) 
28.96(+/-12.66) 37.71(+/-10.77) 29.17(+/-11.44) 51.87(+/-14.5) 
27.29(+/-13.43) 37.5(+/-11.04) 27.71(+/-10.14) 52.5(+/-14.05) 
27.71(+/-12.06) 36.04(+/-11.97) 27.5(+/-10.79) 53.54(+/-14.24) 
27.29(+/-11.66) 36.46(+/-12.42) 28.54(+/-10.82) 52.5(+/-13.94) 
27.92(+/-11.91) 36.88(+/-11.55) 28.12(+/-9.61) 52.29(+/-14.15) 
