16.75(+/-9.06) 24.25(+/-13.4) 15.5(+/-12.16) 27.25(+/-15.87) 
13.75(+/-9.82) 24.5(+/-13.76) 15.0(+/-11.68) 26.75(+/-15.6) 
16.0(+/-10.57) 23.25(+/-14.17) 17.25(+/-13.07) 27.5(+/-16.05) 
20.25(+/-10.49) 24.25(+/-14.6) 17.0(+/-11.52) 27.0(+/-15.2) 
18.0(+/-11.76) 23.5(+/-14.56) 17.5(+/-11.57) 27.25(+/-15.26) 
17.5(+/-10.68) 23.75(+/-13.9) 16.5(+/-10.3) 26.75(+/-14.37) 
15.5(+/-9.21) 24.25(+/-13.71) 16.0(+/-10.05) 27.0(+/-15.26) 
15.75(+/-9.34) 25.5(+/-12.96) 16.75(+/-8.83) 27.0(+/-15.5) 
15.75(+/-10.7) 23.75(+/-12.15) 16.0(+/-10.02) 26.0(+/-13.82) 
16.0(+/-10.46) 22.75(+/-12.6) 17.5(+/-12.26) 26.0(+/-13.96) 
17.75(+/-10.76) 22.5(+/-11.38) 17.75(+/-12.7) 26.75(+/-14.09) 
20.0(+/-11.58) 22.25(+/-11.91) 16.75(+/-11.54) 27.0(+/-14.87) 
20.25(+/-11.32) 21.5(+/-11.72) 17.25(+/-11.87) 27.5(+/-14.77) 
18.5(+/-11.01) 20.25(+/-11.41) 18.0(+/-12.84) 26.5(+/-14.32) 
18.25(+/-11.96) 20.5(+/-10.62) 19.25(+/-13.19) 26.0(+/-14.79) 
16.0(+/-10.76) 19.75(+/-11.63) 18.5(+/-12.37) 25.75(+/-15.08) 
16.0(+/-10.17) 18.5(+/-9.84) 18.5(+/-12.53) 26.5(+/-15.48) 
16.25(+/-10.18) 18.5(+/-11.26) 18.5(+/-12.24) 26.75(+/-15.28) 
15.75(+/-11.88) 19.25(+/-11.34) 19.25(+/-12.64) 26.5(+/-14.93) 
16.0(+/-10.63) 20.0(+/-11.87) 17.75(+/-12.58) 26.5(+/-14.56) 
18.0(+/-9.85) 21.0(+/-11.42) 17.5(+/-12.68) 27.25(+/-15.54) 
