24.5(+/-11.42) 39.0(+/-11.0) 15.25(+/-9.86) 61.75(+/-15.46) 
23.75(+/-12.34) 40.5(+/-10.56) 16.25(+/-11.48) 60.25(+/-16.0) 
26.75(+/-9.74) 39.5(+/-11.75) 15.25(+/-11.68) 60.25(+/-13.86) 
26.5(+/-13.67) 37.25(+/-11.58) 16.0(+/-12.55) 60.75(+/-14.91) 
27.25(+/-13.34) 38.5(+/-12.03) 16.25(+/-13.15) 61.25(+/-14.4) 
25.5(+/-13.42) 38.5(+/-12.29) 15.0(+/-11.36) 61.75(+/-14.89) 
28.25(+/-15.0) 39.75(+/-13.39) 15.25(+/-11.33) 61.0(+/-15.47) 
25.25(+/-14.27) 39.75(+/-14.7) 15.25(+/-11.47) 60.5(+/-15.43) 
24.5(+/-10.84) 39.0(+/-13.74) 15.25(+/-11.47) 60.0(+/-15.12) 
25.5(+/-11.43) 39.25(+/-14.16) 14.75(+/-11.6) 60.25(+/-17.07) 
24.25(+/-10.86) 40.5(+/-13.65) 14.0(+/-11.12) 61.0(+/-15.0) 
25.75(+/-11.32) 40.25(+/-13.74) 14.5(+/-10.64) 60.75(+/-13.87) 
26.25(+/-11.72) 40.0(+/-13.64) 15.5(+/-10.99) 62.0(+/-14.44) 
28.0(+/-13.76) 40.5(+/-13.31) 15.5(+/-11.54) 61.0(+/-14.79) 
27.75(+/-12.15) 40.5(+/-13.15) 14.5(+/-10.7) 61.0(+/-15.31) 
27.75(+/-11.08) 41.5(+/-14.13) 14.75(+/-10.53) 60.25(+/-15.18) 
26.75(+/-10.97) 40.25(+/-14.23) 15.0(+/-10.67) 60.0(+/-13.99) 
28.75(+/-11.36) 40.5(+/-13.42) 15.75(+/-10.68) 60.25(+/-14.41) 
28.25(+/-11.44) 40.0(+/-13.72) 15.25(+/-10.24) 59.5(+/-14.82) 
29.0(+/-10.95) 40.75(+/-12.99) 16.0(+/-10.72) 59.5(+/-13.46) 
28.25(+/-11.29) 39.5(+/-13.85) 15.5(+/-10.37) 60.25(+/-14.19) 
