20.0(+/-12.4) 23.12(+/-10.51) 18.54(+/-10.2) 27.29(+/-14.5) 
19.79(+/-11.77) 22.29(+/-10.8) 19.79(+/-12.01) 28.33(+/-15.34) 
19.79(+/-13.69) 21.88(+/-11.02) 21.04(+/-10.86) 27.5(+/-13.66) 
18.33(+/-13.4) 22.71(+/-11.8) 20.63(+/-11.36) 27.71(+/-13.87) 
17.29(+/-12.04) 22.29(+/-11.85) 22.92(+/-12.15) 27.5(+/-13.77) 
16.25(+/-11.98) 23.96(+/-11.54) 21.67(+/-11.18) 27.71(+/-14.81) 
17.29(+/-11.69) 22.08(+/-11.51) 22.71(+/-11.37) 28.12(+/-13.22) 
17.71(+/-13.83) 19.58(+/-13.2) 22.08(+/-12.29) 27.29(+/-13.69) 
18.96(+/-13.68) 22.5(+/-12.55) 22.92(+/-12.44) 26.88(+/-12.31) 
18.54(+/-11.89) 23.12(+/-11.29) 20.83(+/-11.27) 25.42(+/-12.17) 
17.71(+/-12.89) 23.13(+/-10.66) 21.46(+/-11.2) 24.58(+/-12.98) 
18.33(+/-11.05) 22.5(+/-12.09) 21.25(+/-12.29) 25.62(+/-12.26) 
17.92(+/-12.19) 22.29(+/-11.41) 22.29(+/-11.52) 25.21(+/-12.34) 
18.12(+/-13.07) 21.67(+/-10.68) 22.08(+/-11.48) 25.42(+/-11.96) 
20.42(+/-14.82) 21.25(+/-10.24) 20.62(+/-11.55) 26.67(+/-11.31) 
17.71(+/-13.04) 21.66(+/-11.51) 22.08(+/-12.09) 27.08(+/-12.78) 
18.13(+/-11.66) 21.88(+/-10.26) 21.25(+/-10.8) 26.67(+/-12.68) 
20.62(+/-13.26) 22.71(+/-11.82) 21.46(+/-10.69) 26.88(+/-12.44) 
19.58(+/-14.7) 23.96(+/-13.46) 21.25(+/-10.97) 26.46(+/-12.37) 
20.0(+/-12.29) 24.38(+/-12.32) 20.83(+/-11.58) 26.66(+/-12.63) 
18.96(+/-12.5) 22.92(+/-11.29) 21.67(+/-12.26) 26.25(+/-13.27) 
