Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
1	1	0.979796	0.979796
0.835925	0.835925	0.685884	0.499685
0.377705	0.317582	0.785779	0.440435
1	1	0.361262	0.377344
1	1	0.699854	0.699854
0.866025	0.833774	0.466792	0.257345
0.455101	0.487524	0.429336	0.263954
0.745356	0.682558	0.771312	0.344125
0.900703	0.900703	0.416621	0.225221
0.452842	0.485179	0.272092	0.249066
0.942809	0.942809	0.776849	0.776849
0.745356	0.745356	0.629473	0.629473
0.621435	0.993197	0.270252	0.118534
0.377705	0.391071	0.218616	0.282289
1	1	0.866025	0.866025
0.377705	0.317582	0.785779	0.440435
0.993808	0.957917	0.482838	0.408651
0.827528	0.827528	0.578538	0.378199
0.652325	0.490973	0.576836	0.779027
1	0.899029	0.37302	0.196392
0.383076	0.574439	0.441116	0.32711
0.745356	0.745356	0.935898	0.902041
0.8	0.8	0.687261	0.367573
0.601829	0.443826	0.435276	0.655869
0.925252	0.793701	0.662024	0.687887
0.861059	0.861059	0.387654	0.376355
0.545914	0.595092	0.617774	0.498627
0.371154	0.248915	0.692753	0.587334
0.8	0.8	0.622901	0.410662
1	1	0.967278	0.967278
0.880904	0.791283	0.349071	0.484606
0.610331	0.470881	0.387885	0.496498
0.778771	0.718515	0.605695	0.439394
0.474918	0.384481	0.393458	0.22913
0.556512	0.556512	0.72834	0.734888
0.968246	0.861332	0.553003	0.478144
0.874118	0.860356	0.653427	0.513085
0.397935	0.369729	0.344943	0.620044
1	1	0.393397	0.312775
0.946163	0.840761	0.375517	0.22513
0.745356	0.745356	0.754548	0.607041
1	1	0.930969	0.930969
0.377705	0.317582	0.785779	0.440435
0.953917	0.726772	0.606234	0.513674
0.377705	0.391071	0.49646	0.386388
1	1	0.866025	0.866025
0.679869	0.688285	0.499002	0.498869
0.66367	0.38224	0.442329	0.699645
0.721723	0.455308	0.502453	0.546346
0.699854	0.685814	0.809218	0.332007
1	1	0.745356	0.745356
0.931573	0.469962	0.600002	0.465273
0.835953	0.556384	0.527036	0.652007
1	1	0.745356	0.682558
0.597946	0.404251	0.485162	0.76848
0.60733	0.318019	0.433735	0.628236
0.567557	0.443536	0.508898	0.661287
0.866025	0.916486	0.24271	0.250776
0.557398	0.89381	0.565739	0.481245
0.8	0.8	0.665076	0.665076
1	1	0.371154	0.380294
0.626367	0.962828	0.253442	0.243225
0.515079	0.398538	0.685409	0.529508
1	1	1	1
0.866025	0.866025	0.484123	0.484123
0.371154	0.34386	0.388202	0.305752
0.6	0.6	0.740608	0.741721
0.745356	0.745356	0.399828	0.257347
0.520121	0.531248	0.226504	0.302131
1	1	0.361262	0.377344
0.904623	0.852887	0.512199	0.299676
0.699854	0.699854	0.591355	0.591355
0.556512	0.556512	0.515781	0.376559
0.373251	0.322716	0.278139	0.262181
1	1	0.706136	0.51921
0.470588	0.397889	0.544143	0.337996
0.695364	0.63384	0.695508	0.261498
0.893548	0.79714	0.353503	0.376165
0.699854	0.727416	0.347909	0.343546
0.726184	0.711749	0.478675	0.333278
0.405075	0.257451	0.420836	0.292987
0.925252	0.979164	0.787869	0.784596
1	1	0.745356	0.745356
0.866025	0.866025	0.853528	0.842445
0.559667	0.231371	0.433279	0.844697
0.567296	0.567296	0.546964	0.570991
0.739445	0.41152	0.479057	0.693521
0.421303	0.560444	0.304157	0.356759
0.747674	0.747674	0.614615	0.588279
0.757992	0.336872	0.616079	0.695527
0.692795	0.63359	0.496827	0.394246
0.377705	0.391071	0.533475	0.554897
0.699854	0.699854	0.591355	0.531437
0.745356	0.745356	0.499007	0.509257
1	1	0.507425	0.254805
0.931573	0.469962	0.600002	0.465273
0.745356	0.745356	0.506996	0.550714
0.958315	0.721775	0.406255	0.520498
0.745356	0.745356	0.339544	0.457817
1	1	0.94518	0.731884
0.552237	0.364457	0.48902	0.744625
0.942809	0.942809	0.445362	0.445362
0.8	0.8	0.610858	0.610858
0.466357	0.28564	0.606088	0.658569
1	1	1	1
0.371154	0.389038	0.213583	0.246033
0.355346	0.290739	0.689046	0.499405
0.620302	0.199535	0.643035	0.692363
0.745555	0.505485	0.439758	0.44365
0.986013	0.940973	0.470671	0.426503
0.6	0.6	0.404812	0.41374
0.371154	0.290739	0.652568	0.499405
