65.48(+/-33.01) 66.67(+/-32.12) 70.24(+/-34.61) 72.22(+/-35.39) 
52.78(+/-36.35) 68.25(+/-31.25) 69.44(+/-34.49) 73.02(+/-34.3) 
65.08(+/-34.66) 67.86(+/-33.61) 69.05(+/-35.56) 73.41(+/-33.15) 
61.9(+/-33.59) 64.29(+/-33.25) 69.05(+/-34.42) 70.24(+/-35.17) 
62.3(+/-35.46) 67.46(+/-33.52) 68.25(+/-35.41) 69.84(+/-35.12) 
59.52(+/-35.48) 67.06(+/-34.02) 69.05(+/-34.99) 69.84(+/-35.12) 
61.9(+/-34.75) 65.87(+/-34.3) 66.67(+/-35.63) 69.05(+/-34.99) 
61.9(+/-34.75) 66.27(+/-34.98) 66.67(+/-35.63) 69.44(+/-35.06) 
61.9(+/-36.96) 66.67(+/-36.19) 67.06(+/-34.6) 71.03(+/-33.54) 
57.94(+/-32.98) 69.05(+/-33.25) 66.67(+/-35.07) 71.03(+/-34.13) 
57.54(+/-38.35) 67.06(+/-35.17) 68.25(+/-34.27) 69.44(+/-35.62) 
57.94(+/-35.86) 66.67(+/-33.92) 67.86(+/-33.01) 68.25(+/-34.27) 
58.33(+/-37.66) 66.27(+/-34.41) 66.67(+/-32.73) 68.65(+/-33.17) 
59.92(+/-34.51) 66.27(+/-34.98) 67.86(+/-32.41) 68.65(+/-33.17) 
53.97(+/-35.41) 63.49(+/-35.31) 67.06(+/-33.43) 67.86(+/-33.61) 
62.3(+/-34.32) 66.27(+/-34.41) 66.67(+/-33.92) 70.24(+/-34.03) 
61.51(+/-34.6) 63.89(+/-38.13) 66.27(+/-33.23) 68.25(+/-34.85) 
59.52(+/-39.2) 64.29(+/-36.65) 65.08(+/-34.08) 68.65(+/-34.35) 
61.11(+/-36.13) 64.29(+/-35.56) 65.48(+/-33.61) 67.86(+/-34.19) 
61.9(+/-32.99) 65.08(+/-36.33) 65.48(+/-33.01) 69.44(+/-33.32) 
58.73(+/-33.38) 66.67(+/-33.92) 65.08(+/-33.49) 71.03(+/-32.95) 
