77.38(+/-29.95) 83.33(+/-25.2) 85.32(+/-24.45) 83.33(+/-26.73) 
77.38(+/-31.25) 83.73(+/-25.06) 83.73(+/-25.84) 82.94(+/-26.1) 
80.16(+/-28.23) 82.54(+/-25.45) 83.73(+/-25.84) 84.13(+/-24.92) 
80.16(+/-27.52) 82.94(+/-26.1) 84.52(+/-24.77) 86.11(+/-24.91) 
77.78(+/-29.92) 81.75(+/-25.67) 84.92(+/-24.62) 82.54(+/-25.45) 
76.19(+/-31.32) 82.94(+/-26.85) 84.13(+/-26.47) 81.75(+/-25.67) 
78.17(+/-31.18) 84.13(+/-24.11) 84.52(+/-26.33) 82.94(+/-25.33) 
76.19(+/-29.35) 82.54(+/-26.96) 84.52(+/-26.33) 81.35(+/-25.77) 
73.81(+/-31.32) 82.94(+/-26.1) 84.92(+/-25.41) 83.33(+/-25.2) 
69.05(+/-32.65) 81.75(+/-25.67) 84.92(+/-25.41) 83.73(+/-25.84) 
71.03(+/-32.95) 82.94(+/-24.53) 84.52(+/-26.33) 86.51(+/-23.92) 
73.41(+/-31.3) 82.54(+/-24.65) 85.32(+/-25.25) 86.9(+/-23.72) 
69.84(+/-31.55) 82.14(+/-24.77) 84.52(+/-25.56) 84.92(+/-25.41) 
75.0(+/-30.7) 81.35(+/-25.77) 85.32(+/-25.25) 86.11(+/-24.1) 
75.4(+/-31.34) 82.14(+/-25.56) 85.71(+/-25.08) 85.32(+/-24.45) 
76.98(+/-31.28) 80.56(+/-25.95) 85.71(+/-25.86) 88.49(+/-21.97) 
76.59(+/-31.93) 80.16(+/-26.78) 86.51(+/-24.73) 86.9(+/-25.34) 
75.0(+/-30.7) 79.37(+/-26.93) 87.3(+/-24.35) 86.9(+/-24.54) 
75.79(+/-32.57) 79.76(+/-26.11) 86.9(+/-24.54) 86.51(+/-24.73) 
72.62(+/-31.88) 80.56(+/-25.95) 87.3(+/-25.15) 84.92(+/-26.18) 
72.62(+/-33.69) 79.37(+/-26.18) 86.51(+/-25.52) 84.92(+/-25.41) 
